TO REVIEW COLLECTED DATA FROM DM01DB02 - CCBS DATABASE - VKTM PRIORITY 



F S UID        PID  PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
0 S oracle    6909     1  0  75   0 - 10546152 ?   10:55 ?        00:00:00 ora_p093_ccbs2
0 S oracle    6911     1  0  75   0 - 10546404 ?   10:55 ?        00:00:01 ora_p094_ccbs2
0 S oracle    6913     1  0  75   0 - 10546145 ?   10:56 ?        00:00:01 ora_p095_ccbs2
0 S oracle   15030     1  0  75   0 - 10544890 ?   Sep06 ?        00:00:07 ora_pmon_ccbs2
0 S oracle   15032     1  0  75   0 - 10544336 ?   Sep06 ?        00:00:05 ora_psp0_ccbs2
0 S oracle   15044     1  0  58   - - 10544222 ?   Sep06 ?        00:00:00 ora_vktm_ccbs2
0 S oracle   15048     1  0  75   0 - 10544570 ?   Sep06 ?        00:00:00 ora_gen0_ccbs2
0 S oracle   15050     1  0  75   0 - 10545760 ?   Sep06 ?        00:00:00 ora_diag_ccbs2
0 S oracle   15052     1  0  75   0 - 10544738 ?   Sep06 ?        00:00:00 ora_dbrm_ccbs2
0 S oracle   15054     1  0  75   0 - 10544222 ?   Sep06 ?        00:00:01 ora_ping_ccbs2
0 S oracle   15056     1  0  78   0 - 10544222 ?   Sep06 ?        00:00:00 ora_acms_ccbs2
0 S oracle   15058     1  0  75   0 - 10544444 ?   Sep06 ?        00:00:12 ora_dskm_ccbs2
0 S oracle   15060     1  0  75   0 - 10548080 ?   Sep06 ?        00:09:30 ora_dia0_ccbs2
0 S oracle   15062     1  0  75   0 - 10547353 ?   Sep06 ?        00:02:48 ora_lmon_ccbs2
0 S oracle   15064     1  0  75   0 - 10548298 ?   Sep06 ?        00:00:54 ora_lmd0_ccbs2
0 S oracle   15067     1  0  58   - - 10548062 ?   Sep06 ?        00:20:19 ora_lms0_ccbs2
0 S oracle   15071     1  0  58   - - 10548062 ?   Sep06 ?        00:20:00 ora_lms1_ccbs2
0 S oracle   15075     1  0  75   0 - 10544776 ?   Sep06 ?        00:00:00 ora_rms0_ccbs2
0 S oracle   15077     1  0  75   0 - 10544368 ?   Sep06 ?        00:00:00 ora_lmhb_ccbs2
0 S oracle   15079     1  0  75   0 - 10544222 ?   Sep06 ?        00:00:03 ora_mman_ccbs2
0 S oracle   15081     1  0  75   0 - 10551708 ?   Sep06 ?        00:01:58 ora_dbw0_ccbs2
0 S oracle   15083     1  0  75   0 - 10549703 ?   Sep06 ?        00:02:11 ora_dbw1_ccbs2
0 S oracle   15085     1  0  75   0 - 10550758 ?   Sep06 ?        00:01:47 ora_dbw2_ccbs2
0 S oracle   15087     1  0  75   0 - 10550628 ?   Sep06 ?        00:33:28 ora_lgwr_ccbs2
0 S oracle   15089     1  0  76   0 - 10547276 ?   Sep06 ?        00:02:25 ora_ckpt_ccbs2
0 S oracle   15091     1  0  75   0 - 10546160 ?   Sep06 ?        00:06:21 ora_smon_ccbs2
0 S oracle   15093     1  0  75   0 - 10544981 ?   Sep06 ?        00:00:00 ora_reco_ccbs2
0 S oracle   15095     1  0  75   0 - 10544499 ?   Sep06 ?        00:00:00 ora_rbal_ccbs2
0 S oracle   15097     1  0  78   0 - 10544699 pipe_w Sep06 ?     00:00:10 ora_asmb_ccbs2
0 S oracle   15099     1  0  75   0 - 10546469 ?   Sep06 ?        00:00:17 ora_mmon_ccbs2
0 S oracle   15101     1  0  75   0 - 10544656 ?   Sep06 ?        00:00:50 ora_mmnl_ccbs2
0 S oracle   15103     1  0  75   0 - 124002 ?     Sep06 ?        00:00:00 oracle+ASM2_asmb_ccbs2 (DESCRIPTION=(LOCAL=YES)(ADDRESS=(PROTOCOL=beq)))
0 S oracle   15105     1  0  75   0 - 10546163 ?   Sep06 ?        00:00:00 ora_mark_ccbs2
0 S oracle   15111     1  0  75   0 - 10545520 ?   Sep06 ?        00:00:46 ora_lck0_ccbs2
0 S oracle   15113     1  0  75   0 - 10545726 ?   Sep06 ?        00:00:00 ora_rsmn_ccbs2
0 S oracle   15319     1  0  75   0 - 10568886 ?   Sep06 ?        00:00:03 ora_arc0_ccbs2
0 S oracle   15377     1  0  75   0 - 10568886 ?   Sep06 ?        00:00:03 ora_arc1_ccbs2
0 S oracle   15379     1  0  75   0 - 10568913 ?   Sep06 ?        00:00:04 ora_arc2_ccbs2
0 S oracle   15381     1  0  75   0 - 10556447 ?   Sep06 ?        00:00:07 ora_arc3_ccbs2
0 S oracle   15383     1  0  75   0 - 10568909 ?   Sep06 ?        00:00:04 ora_arc4_ccbs2
0 S oracle   15385     1  0  75   0 - 10568888 ?   Sep06 ?        00:00:05 ora_arc5_ccbs2
0 S oracle   15387     1  0  75   0 - 10568888 ?   Sep06 ?        00:00:04 ora_arc6_ccbs2
0 S oracle   15389     1  0  75   0 - 10568899 ?   Sep06 ?        00:00:04 ora_arc7_ccbs2
0 S oracle   15391     1  0  75   0 - 10568893 ?   Sep06 ?        00:00:04 ora_arc8_ccbs2
0 S oracle   15393     1  0  75   0 - 10568881 ?   Sep06 ?        00:00:04 ora_arc9_ccbs2
0 S oracle   15395     1  0  75   0 - 10568891 ?   Sep06 ?        00:00:03 ora_arca_ccbs2
0 S oracle   15397     1  0  75   0 - 10568913 ?   Sep06 ?        00:00:04 ora_arcb_ccbs2
0 S oracle   15399     1  0  75   0 - 10568888 ?   Sep06 ?        00:00:05 ora_arcc_ccbs2
0 S oracle   15401     1  0  75   0 - 10568892 ?   Sep06 ?        00:00:04 ora_arcd_ccbs2
0 S oracle   15403     1  0  75   0 - 10568889 ?   Sep06 ?        00:00:04 ora_arce_ccbs2
0 S oracle   15405     1  0  75   0 - 10568887 ?   Sep06 ?        00:00:04 ora_arcf_ccbs2
0 S oracle   15407     1  0  75   0 - 10568891 ?   Sep06 ?        00:00:04 ora_arcg_ccbs2
0 S oracle   15409     1  0  75   0 - 10568904 ?   Sep06 ?        00:00:03 ora_arch_ccbs2
0 S oracle   15411     1  0  75   0 - 10568892 ?   Sep06 ?        00:00:03 ora_arci_ccbs2
0 S oracle   15413     1  0  75   0 - 10568888 ?   Sep06 ?        00:00:02 ora_arcj_ccbs2
0 S oracle   15415     1  0  75   0 - 10568887 ?   Sep06 ?        00:00:02 ora_arck_ccbs2
0 S oracle   15417     1  0  75   0 - 10568891 ?   Sep06 ?        00:00:02 ora_arcl_ccbs2
0 S oracle   15419     1  0  75   0 - 10568896 ?   Sep06 ?        00:00:02 ora_arcm_ccbs2
0 S oracle   15421     1  0  75   0 - 10568888 ?   Sep06 ?        00:00:02 ora_arcn_ccbs2
0 S oracle   15423     1  0  75   0 - 10568893 ?   Sep06 ?        00:00:03 ora_arco_ccbs2
0 S oracle   15425     1  0  75   0 - 10568906 ?   Sep06 ?        00:00:03 ora_arcp_ccbs2
0 S oracle   15427     1  0  75   0 - 10568891 ?   Sep06 ?        00:00:04 ora_arcq_ccbs2
0 S oracle   15429     1  0  75   0 - 10568893 ?   Sep06 ?        00:00:03 ora_arcr_ccbs2
0 S oracle   15431     1  0  75   0 - 10568891 ?   Sep06 ?        00:00:04 ora_arcs_ccbs2
0 S oracle   15433     1  0  75   0 - 10568887 ?   Sep06 ?        00:00:02 ora_arct_ccbs2
