  ae | 02/03/2012 | 09:08:30 | System Firmware Progress | Option ROM initialization | Asserted
  af | 02/03/2012 | 09:08:49 | System Firmware Progress | System boot initiated | Asserted
  b0 | 02/07/2012 | 08:15:53 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
  b1 | 02/07/2012 | 08:15:53 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
  b2 | 02/07/2012 | 15:44:12 | Button | Power Button pressed | Asserted
  b3 | 02/07/2012 | 15:44:13 | System Boot Initiated | Initiated by hard reset | Asserted
  b4 | 02/07/2012 | 15:44:13 | System Firmware Progress | Memory initialization | Asserted
  b5 | 02/07/2012 | 15:44:14 | System Firmware Progress | Primary CPU initialization | Asserted
  b6 | 02/07/2012 | 15:44:15 | Button | Power Button pressed | Asserted
  b7 | 02/07/2012 | 15:44:16 | System Boot Initiated | Initiated by warm reset | Asserted
  b8 | 02/07/2012 | 15:44:16 | System Firmware Progress | Memory initialization | Asserted
  b9 | 02/07/2012 | 15:44:16 | System Firmware Progress | Primary CPU initialization | Asserted
  ba | 02/07/2012 | 15:44:18 | System Boot Initiated | Initiated by warm reset | Asserted
  bb | 02/07/2012 | 15:44:18 | System Firmware Progress | Memory initialization | Asserted
  bc | 02/07/2012 | 15:44:18 | System Firmware Progress | Primary CPU initialization | Asserted
  bd | 02/07/2012 | 15:44:23 | Button | Power Button pressed | Asserted
  be | 02/07/2012 | 15:44:23 | System ACPI Power State #0x26 | S0/G0: working | Asserted
  bf | 02/07/2012 | 15:44:23 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
  c0 | 02/07/2012 | 15:44:29 | Button | Power Button pressed | Asserted
  c1 | 02/07/2012 | 15:44:39 | Button | Power Button pressed | Asserted
  c2 | 02/07/2012 | 15:44:46 | Button | Power Button pressed | Asserted
  c3 | 02/07/2012 | 15:44:54 | System Firmware Progress | Management controller initialization | Asserted
  c4 | 02/07/2012 | 15:44:54 | System Firmware Progress | Secondary CPU Initialization | Asserted
  c5 | 02/07/2012 | 15:45:04 | System Firmware Progress | Video initialization | Asserted
  c6 | 02/07/2012 | 15:45:11 | System Firmware Progress | Keyboard controller initialization | Asserted
  c7 | 02/07/2012 | 15:45:23 | System Firmware Progress | Option ROM initialization | Asserted
  c8 | 02/07/2012 | 15:45:26 | System Firmware Progress | Option ROM initialization | Asserted
  c9 | 02/07/2012 | 15:45:44 | System Firmware Progress | System boot initiated | Asserted
  ca | 03/13/2012 | 09:54:50 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
  cb | 03/13/2012 | 09:54:50 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
  cc | 03/13/2012 | 16:18:37 | System Boot Initiated | System Restart | Asserted
  cd | 03/13/2012 | 16:18:39 | System Boot Initiated | Initiated by hard reset | Asserted
  ce | 03/13/2012 | 16:18:39 | System Firmware Progress | Memory initialization | Asserted
  cf | 03/13/2012 | 16:18:39 | System Firmware Progress | Primary CPU initialization | Asserted
  d0 | 03/13/2012 | 16:18:45 | System Boot Initiated | Initiated by warm reset | Asserted
  d1 | 03/13/2012 | 16:18:46 | System Firmware Progress | Memory initialization | Asserted
  d2 | 03/13/2012 | 16:18:46 | System Firmware Progress | Primary CPU initialization | Asserted
  d3 | 03/13/2012 | 16:18:46 | System ACPI Power State #0x26 | S0/G0: working | Asserted
  d4 | 03/13/2012 | 16:18:46 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
  d5 | 03/13/2012 | 16:18:48 | System Boot Initiated | Initiated by warm reset | Asserted
  d6 | 03/13/2012 | 16:18:49 | System Firmware Progress | Memory initialization | Asserted
  d7 | 03/13/2012 | 16:18:51 | System Firmware Progress | Primary CPU initialization | Asserted
  d8 | 03/13/2012 | 16:19:27 | System Firmware Progress | Management controller initialization | Asserted
  d9 | 03/13/2012 | 16:19:27 | System Firmware Progress | Secondary CPU Initialization | Asserted
  da | 03/13/2012 | 16:19:38 | System Firmware Progress | Video initialization | Asserted
  db | 03/13/2012 | 16:19:45 | System Firmware Progress | Keyboard controller initialization | Asserted
  dc | 03/13/2012 | 16:19:57 | System Firmware Progress | Option ROM initialization | Asserted
  dd | 03/13/2012 | 16:20:00 | System Firmware Progress | Option ROM initialization | Asserted
  de | 03/13/2012 | 16:20:19 | System Firmware Progress | System boot initiated | Asserted
  df | 03/14/2012 | 12:25:16 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
  e0 | 03/14/2012 | 12:25:16 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
  e1 | 03/14/2012 | 12:31:07 | System Boot Initiated | Initiated by hard reset | Asserted
  e2 | 03/14/2012 | 12:31:08 | System Firmware Progress | Memory initialization | Asserted
  e3 | 03/14/2012 | 12:31:08 | System Firmware Progress | Primary CPU initialization | Asserted
  e4 | 03/14/2012 | 12:31:10 | System Boot Initiated | System Restart | Asserted
  e5 | 03/14/2012 | 12:31:10 | Critical Interrupt | NMI/Diag Interrupt | Asserted
  e6 | 03/14/2012 | 12:31:15 | System ACPI Power State #0x26 | S0/G0: working | Asserted
  e7 | 03/14/2012 | 12:31:15 | System ACPI Power State #0x26 | S5/G2: soft-off | Deasserted
  e8 | 03/14/2012 | 12:32:32 | System Firmware Progress | Secondary CPU Initialization | Asserted
  e9 | 03/14/2012 | 12:35:05 | System Firmware Progress | System boot initiated | Asserted
  ea | 03/14/2012 | 14:01:15 | System ACPI Power State #0x26 | S0/G0: working | Deasserted
  eb | 03/14/2012 | 14:01:15 | System ACPI Power State #0x26 | S5/G2: soft-off | Asserted
